course no.	url	section	season	year
cdgd-304	https://cdgd-304-01-fa24.courses.baizman.com	1	fall	2024
cdgd-304	https://cdgd-304-01-fa23.courses.baizman.com	1	fall	2023
cdgd-304	https://cdgd-304-01-fa22.courses.baizman.com	1	fall	2022
art-3402	https://eclearn.emmanuel.edu/courses/3412590	1	spring	2022
cdgd-230	https://classroom.google.com/c/NDQ0ODgyNzA2ODM0	1	spring	2022
cdgd-304	https://cdgd-304-01-fa21.courses.baizman.com	1	fall	2021
dsgn-660	https://discord.com/channels/796462787517612033/	1	spring	2021
cdgd-304	https://cdgd-304-01-fa20.courses.baizman.com	1	fall	2020
cdgd-304	https://cdgd-304-01-sp20.courses.baizman.com	1	spring	2020
cdgd-304	https://cdgd-304-01-fa19.courses.baizman.com	1	fall	2019
cdgd-322	https://cdgd-322-02-sp19.courses.baizman.com	2	spring	2019
cdgd-230	https://cdgd-230-02-sp19.courses.baizman.com	2	spring	2019
cdgd-304	https://cdgd-304-01-sp19.courses.baizman.com	1	spring	2019
cdgd-342	https://cdgd-342-02-fa18.courses.baizman.com	2	fall	2018
cdgd-206	https://cdgd-206-01-fa18.courses.baizman.com	1	fall	2018
cdgd-206	https://cdgd-206-02-fa18.courses.baizman.com	2	fall	2018
cdgd-206	https://cdgd-206-03-fa18.courses.baizman.com	3	fall	2018
cdgd-304	https://cdgd-304-01-fa18.courses.baizman.com	1	fall	2018
cdgd-322	https://cdgd-322-02-sp18.courses.baizman.com	2	spring	2018
cdgd-230	https://cdgd-230-01-sp18.courses.baizman.com	2	spring	2018
cdgd-342	https://saulbaizman-teaching.github.io/cdgd-342-02-fa17/	2	fall	2017
cdgd-304	https://saulbaizman-teaching.github.io/cdgd-304-01-fa17/	1	fall	2017
cdgd-206	https://saulbaizman-teaching.github.io/cdgd-206-fa17/		fall	2017
cdgd-322	https://saulbaizman-teaching.github.io/cdgd-322-02-sp17/	2	spring	2017
cmp-2035	https://saulbaizman-teaching.github.io/cmp-2035-sp17/	1	spring	2017
cdgd-342	https://cdgd-342-fa16.slack.com		fall	2016
idesn-2115	https://idesn-2115-fa16.slack.com		fall	2016
idesn-3535	https://idesn-3535-fa16.slack.com		fall	2016
cmp-2035i	https://cmp-2035-su16.slack.com		summer	2016
cmp-2035	https://cmp-2035-s16.slack.com		spring	2016
cmp-3011	https://cmp-3011-s16.slack.com		spring	2016
cmp-2035	https://cmp-2035-f15.slack.com		fall	2015
dsgn-352	https://dsgn-352-f15.slack.com		fall	2015
cmp-3011	https://cmp-3011-c1-sp15.slack.com		spring	2015
cmp-2035	https://cmp-2035-c1-fa14.slack.com		fall	2014
